name,loc1,loc2,loc3,z,lat,lon,cortarNo
서울특별시,종로구,행촌동,여수동,14,37.573608,126.9621,1111018100
서울특별시,종로구,구기동,도촌동,14,37.6179,126.9574,1111018200
서울특별시,종로구,평창동,갈현동,14,37.605364,126.966884,1111018300
서울특별시,종로구,부암동,하대원동,14,37.59244,126.964047,1111018400
서울특별시,종로구,홍지동,중앙동,14,37.6006,126.9564,1111018500
서울특별시,종로구,신영동,분당동,14,37.60294,126.9621,1111018600
서울특별시,종로구,무악동,수내동,14,37.576008,126.958098,1111018700
서울특별시,중구,무교동,정자동,14,37.568041,126.978823,1114010100
서울특별시,중구,다동,율동,14,37.568133,126.980913,1114010200
서울특별시,중구,태평로1가,서현동,14,37.567545,126.977336,1114010300
서울특별시,중구,을지로1가,이매동,14,37.565882,126.980523,1114010400
서울특별시,중구,을지로2가,야탑동,14,37.56585,126.985638,1114010500
서울특별시,중구,남대문로1가,판교동,14,37.567574,126.983064,1114010600
서울특별시,중구,삼각동,삼평동,14,37.567907,126.984746,1114010700
서울특별시,중구,수하동,백현동,14,37.567395,126.984593,1114010800
서울특별시,중구,장교동,금곡동,14,37.567463,126.987007,1114010900
서울특별시,중구,수표동,궁내동,14,37.567317,126.989225,1114011000
서울특별시,중구,소공동,동원동,14,37.562294,126.977184,1114011100
서울특별시,중구,남창동,구미동,14,37.5581,126.977437,1114011200
서울특별시,중구,북창동,운중동,14,37.5623,126.9783,1114011300
서울특별시,중구,태평로2가,대장동,14,37.563215,126.976357,1114011400
서울특별시,중구,남대문로2가,석운동,14,37.563843,126.98199,1114011500
서울특별시,중구,남대문로3가,하산운동,14,37.561648,126.979389,1114011600
서울특별시,중구,남대문로4가,안양동,14,37.560671,126.975325,1114011700
서울특별시,중구,남대문로5가,석수동,14,37.5563,126.9748,1114011800
서울특별시,중구,봉래동1가,박달동,14,37.558889,126.972912,1114011900
서울특별시,중구,봉래동2가,비산동,14,37.5566,126.971,1114012000
서울특별시,중구,회현동1가,관양동,14,37.5572,126.9813,1114012100
서울특별시,중구,회현동2가,평촌동,14,37.558497,126.982711,1114012200
서울특별시,중구,회현동3가,호계동,14,37.560039,126.984044,1114012300
서울특별시,중구,충무로1가,일동,14,37.560925,126.982288,1114012400
서울특별시,중구,충무로2가,이동,14,37.561461,126.986308,1114012500
서울특별시,중구,명동1가,사동,14,37.564432,126.984421,1114012600
서울특별시,중구,명동2가,본오동,14,37.562667,126.985175,1114012700
서울특별시,중구,남산동1가,팔곡이동,14,37.559159,126.984669,1114012800
서울특별시,중구,남산동2가,양상동,14,37.558333,126.9858,1114012900
서울특별시,중구,남산동3가,부곡동,14,37.55998,126.987333,1114013000
서울특별시,중구,저동1가,성포동,14,37.56423,126.987841,1114013100
서울특별시,중구,충무로4가,월피동,14,37.5622,126.9956,1114013200
서울특별시,중구,충무로5가,팔곡일동,14,37.562561,126.999541,1114013300
서울특별시,중구,인현동2가,건건동,14,37.564125,126.996238,1114013400
서울특별시,중구,예관동,사사동,14,37.564062,126.997989,1114013500
서울특별시,중구,묵정동,수암동,14,37.561308,127.000525,1114013600
서울특별시,중구,필동1가,장상동,14,37.5609,126.9924,1114013700
서울특별시,중구,필동2가,장하동,14,37.5586,126.9944,1114013800
서울특별시,중구,필동3가,고잔동,14,37.557735,126.997326,1114013900
서울특별시,중구,남학동,와동,14,37.560504,126.99086,1114014000
서울특별시,중구,주자동,신길동,14,37.560631,126.989346,1114014100
서울특별시,중구,예장동,성곡동,14,37.5553,126.9898,1114014200
서울특별시,중구,장충동1가,원시동,14,37.560758,127.007688,1114014300
서울특별시,중구,장충동2가,목내동,14,37.5552,127.0011,1114014400
서울특별시,중구,광희동1가,초지동,14,37.565,127.0051,1114014500
서울특별시,중구,광희동2가,원곡동,14,37.5641,127.0084,1114014600
서울특별시,중구,쌍림동,선부동,14,37.5638,127.0041,1114014700
서울특별시,중구,을지로6가,대부동동,14,37.567717,127.006938,1114014800
서울특별시,중구,을지로7가,대부북동,14,37.566325,127.010437,1114014900
서울특별시,중구,을지로4가,대부남동,14,37.5663,126.9968,1114015000
서울특별시,중구,을지로5가,선감동,14,37.56665,127.002563,1114015100
서울특별시,중구,주교동,풍도동,14,37.568255,126.998888,1114015200
서울특별시,중구,방산동,화정동,14,37.5687,127.0032,1114015300
서울특별시,중구,오장동,주교동,14,37.564825,127.000775,1114015400
서울특별시,중구,을지로3가,원당동,14,37.566578,126.99235,1114015500
서울특별시,중구,입정동,신원동,14,37.567708,126.992717,1114015600
서울특별시,중구,산림동,원흥동,14,37.5676,126.9957,1114015700
서울특별시,중구,충무로3가,도내동,14,37.562228,126.991911,1114015800
서울특별시,중구,초동,성사동,14,37.56465,126.992325,1114015900
서울특별시,중구,인현동1가,북한동,14,37.5646,126.9944,1114016000
서울특별시,중구,저동2가,효자동,14,37.5642,126.989713,1114016100
서울특별시,중구,신당동,지축동,14,37.557025,127.01315,1114016200
서울특별시,중구,흥인동,오금동,14,37.567675,127.016463,1114016300
서울특별시,중구,무학동,삼송동,14,37.564209,127.015173,1114016400
서울특별시,중구,황학동,동산동,14,37.567367,127.02125,1114016500
서울특별시,중구,서소문동,용두동,14,37.563275,126.973425,1114016600
서울특별시,중구,정동,벽제동,14,37.5664,126.972925,1114016700
서울특별시,중구,순화동,선유동,14,37.562758,126.970438,1114016800
서울특별시,중구,의주로1가,고양동,14,37.563646,126.968443,1114016900
서울특별시,중구,충정로1가,대자동,14,37.566841,126.968041,1114017000
서울특별시,중구,중림동,관산동,14,37.554803,126.964498,1114017100
서울특별시,중구,의주로2가,내유동,14,37.560645,126.969464,1114017200
서울특별시,중구,만리동1가,토당동,14,37.555917,126.967263,1114017300
서울특별시,중구,만리동2가,내곡동,14,37.5544,126.964,1114017400
서울특별시,용산구,후암동,대장동,14,37.548638,126.978134,1117010100
서울특별시,용산구,용산동2가,화정동,14,37.54295,126.98405,1117010200
서울특별시,용산구,용산동4가,강매동,14,37.5306,126.9854,1117010300
서울특별시,용산구,갈월동,행주내동,14,37.5425,126.9719,1117010400
서울특별시,용산구,남영동,행주외동,14,37.545742,126.974775,1117010500
서울특별시,용산구,용산동1가,신평동,14,37.5401,126.977,1117010600
서울특별시,용산구,동자동,행신동,14,37.5517,126.9727,1117010700
서울특별시,용산구,서계동,화전동,14,37.5525,126.9664,1117010800
서울특별시,용산구,청파동1가,현천동,14,37.5488,126.9674,1117010900
서울특별시,용산구,청파동2가,덕은동,14,37.5462,126.9667,1117011000
서울특별시,용산구,청파동3가,향동동,14,37.5432,126.9668,1117011100
서울특별시,용산구,원효로1가,식사동,14,37.5398,126.9673,1117011200
서울특별시,용산구,원효로2가,중산동,14,37.536733,126.963263,1117011300
서울특별시,용산구,신창동,정발산동,14,37.5358,126.9547,1117011400
서울특별시,용산구,산천동,장항동,14,37.5353,126.9513,1117011500
서울특별시,용산구,청암동,마두동,14,37.534227,126.946829,1117011600
