법정동코드	법정동명	폐지여부
4711133035	포항시 남구 장기면 대진리	존재
4711133036	포항시 남구 장기면 모포리	존재
4711133037	포항시 남구 장기면 학계리	존재
4711133038	포항시 남구 장기면 학곡리	존재
4711133039	포항시 남구 장기면 신계리	존재
4711133040	포항시 남구 장기면 창지리	존재
4711133041	포항시 남구 장기면 대곡리	존재
4711133042	포항시 남구 장기면 죽정리	존재
4711133043	포항시 남구 장기면 정천리	존재
4711134000	포항시 남구 대보면	폐지
4711134021	포항시 남구 대보면 강사리	폐지
4711134022	포항시 남구 대보면 대보리	폐지
4711134023	포항시 남구 대보면 구만리	폐지
4711134024	포항시 남구 대보면 대동배리	폐지
4711135000	포항시 남구 호미곶면	존재
4711135021	포항시 남구 호미곶면 강사리	존재
4711135022	포항시 남구 호미곶면 대보리	존재
4711135023	포항시 남구 호미곶면 구만리	존재
4711135024	포항시 남구 호미곶면 대동배리	존재
4711300000	포항시 북구	존재
4711310100	포항시 북구 대흥동	존재
4711310200	포항시 북구 신흥동	존재
4711310300	포항시 북구 남빈동	존재
4711310400	포항시 북구 상원동	존재
4711310500	포항시 북구 여천동	존재
4711310600	포항시 북구 중앙동	존재
4711310700	포항시 북구 덕산동	존재
4711310800	포항시 북구 덕수동	존재
4711310900	포항시 북구 대신동	존재
4711311000	포항시 북구 동빈1가	존재
4711311100	포항시 북구 동빈2가	존재
4711311200	포항시 북구 학산동	존재
4711311300	포항시 북구 항구동	존재
4711311400	포항시 북구 득량동	존재
4711311500	포항시 북구 학잠동	존재
4711311600	포항시 북구 죽도동	존재
4711311700	포항시 북구 용흥동	존재
4711311800	포항시 북구 우현동	존재
4711311900	포항시 북구 창포동	존재
4711312000	포항시 북구 두호동	존재
4711312100	포항시 북구 장성동	존재
4711312200	포항시 북구 양덕동	존재
4711312300	포항시 북구 환호동	존재
4711312400	포항시 북구 여남동	존재
4711325000	포항시 북구 흥해읍	존재
4711325021	포항시 북구 흥해읍 매산리	존재
4711325022	포항시 북구 흥해읍 북송리	존재
4711325023	포항시 북구 흥해읍 마산리	존재
4711325024	포항시 북구 흥해읍 옥성리	존재
4711325025	포항시 북구 흥해읍 약성리	존재
4711325026	포항시 북구 흥해읍 학성리	존재
4711325027	포항시 북구 흥해읍 남성리	존재
4711325028	포항시 북구 흥해읍 성내리	존재
4711325029	포항시 북구 흥해읍 중성리	존재
4711325030	포항시 북구 흥해읍 망천리	존재
4711325031	포항시 북구 흥해읍 남송리	존재
4711325032	포항시 북구 흥해읍 곡강리	존재
4711325033	포항시 북구 흥해읍 용한리	존재
4711325034	포항시 북구 흥해읍 우목리	존재
4711325035	포항시 북구 흥해읍 죽천리	존재
4711325036	포항시 북구 흥해읍 용곡리	존재
4711325037	포항시 북구 흥해읍 양백리	존재
4711325038	포항시 북구 흥해읍 덕성리	존재
4711325039	포항시 북구 흥해읍 덕장리	존재
4711325040	포항시 북구 흥해읍 용전리	존재
4711325041	포항시 북구 흥해읍 용천리	존재
4711325042	포항시 북구 흥해읍 금장리	존재
4711325043	포항시 북구 흥해읍 흥안리	존재
4711325044	포항시 북구 흥해읍 칠포리	존재
4711325045	포항시 북구 흥해읍 오도리	존재
4711325046	포항시 북구 흥해읍 초곡리	존재
4711325047	포항시 북구 흥해읍 학천리	존재
4711325048	포항시 북구 흥해읍 성곡리	존재
4711325049	포항시 북구 흥해읍 이인리	존재
4711325050	포항시 북구 흥해읍 대련리	존재
4711331000	포항시 북구 신광면	존재
4711331021	포항시 북구 신광면 냉수리	존재
4711331022	포항시 북구 신광면 흥곡리	존재
4711331023	포항시 북구 신광면 우각리	존재
4711331024	포항시 북구 신광면 죽성리	존재
4711331025	포항시 북구 신광면 상읍리	존재
4711331026	포항시 북구 신광면 토성리	존재
4711331027	포항시 북구 신광면 사정리	존재
4711331028	포항시 북구 신광면 안덕리	존재
4711331029	포항시 북구 신광면 만석리	존재
