area,z,lat,lon,btm,lft,top,rgt,cortarNo
울산광역시 남구 달동,14,35.5364,129.3165,35.5036363,129.2638429,35.5691503,129.3691571,3114010500
울산광역시 남구 두왕동,14,35.5082,129.2998,35.4754248,129.2571421,35.5409619,129.3424579,3114010300
울산광역시 남구 무거동,14,35.550033,129.265987,35.5172748,129.2233291,35.5827778,129.3086449,3114010100
울산광역시 남구 삼산동,14,35.544467,129.331938,35.5117066,129.2892801,35.577214,129.3745959,3114010600
