atclNm,bildNm,flrInfo,spc2,tradTpNm,prc,rentPrc,hanPrc,direction,atclNo,atclFetrDesc,atclCfmYmd,지역1,지역2,지역3,date
남운학성타운,102동,12/12,135,전세,25000,0,"2억 5,000",남향,2224343217,화장실2대 도배장판 깨끗히 수리해드림.,22.07.19.,울산광역시,중구,학성동,2022-07-29
학성파크디아채,1동,9/20,84,매매,37000,0,"3억 7,000",남향,2224362976,발코니확장 하이트 톤 리모델링 수납시설 넉넉함  남향 뷰짱 생활편리,22.07.19.,울산광역시,중구,학성동,2022-07-29
플로랜스쉐르빌(주상복합),1동,8/15,77,매매,31000,0,"3억 1,000",서향,2225701851,공실입니다 즉시입주가능,22.07.29.,울산광역시,중구,학성동,2022-07-29
프리미엄빌리지(주상복합),1동,7/9,64,매매,28000,0,"2억 8,000",북향,2225571885,태화강뷰 굉장히 저렴한집 조정가능,22.07.28.,울산광역시,중구,학성동,2022-07-29
KT,1동,5/5,52,월세,2000,35,"2,000",남향,2225404455,"O 리모델링 O 방2,거실 O 남향 O 아파트 O",22.07.26.,울산광역시,중구,학성동,2022-07-29
학성파크디아채,1동,중/20,84,매매,37500,0,"3억 7,500",남향,2224856212,남향 태화강조망좋고 햇살좋음 신축4년 재래시장및 생활편리 전세안고매매,22.07.22.,울산광역시,중구,학성동,2022-07-29
강변경남팰리스(주상복합),1동,7/20,84,매매,31500,0,"3억 1,500",남향,2225207550,"신축첫입주 넉넉한수납공간 태화강 산책로, 태화강 영구조망대출가능 강추",22.07.25.,울산광역시,중구,학성동,2022-07-29
학성파크디아채,1동,13/20,84,매매,42000,0,"4억 2,000",남향,2223666743,"입주협의가능,깨끗하게 관리된집,전망좋고 교통입지 좋습니다.",22.07.13.,울산광역시,중구,학성동,2022-07-29
삼화,1동,중/4,47,매매,12000,0,"1억 2,000",남향,2225764567,소형 아파트 수리요함 즉시입주가능해요,22.07.29.,울산광역시,중구,학성동,2022-07-29
KT,1동,고/5,52,월세,2000,35,"2,000",동향,2225446367,"학성동, 방2개, 거실, 리모델링.",22.07.27.,울산광역시,중구,학성동,2022-07-29
드림캐슬(주상복합),1동,중/14,84,매매,30000,0,3억,남향,2225330992,남향. 신축4년차. 넓은 베란다. 방바다 붙박이장.,22.07.26.,울산광역시,중구,학성동,2022-07-29
학성파크디아채,1동,중/20,75,매매,33000,0,"3억 3,000",남서향,2224869320,깨끗하게 관리된 집입니다 뷰와 일조량 좋아요,22.07.22.,울산광역시,중구,학성동,2022-07-29
남운학성타운,102동,12/12,135,매매,32000,0,"3억 2,000",남향,2222668085,"남향, 로얄층, 학군우수, 대형마트 재래식시장 도보가능.",22.07.06.,울산광역시,중구,학성동,2022-07-29
남운학성타운,101동,저/12,133,매매,33000,0,"3억 3,000",남향,2223238355,7월20일이후 입주가능 리모델링 해야 됨 교통 및 주차 편리 주변 재개발,22.07.11.,울산광역시,중구,학성동,2022-07-29
영우트리지움(주상복합),1동,고/19,82,전세,39000,0,"3억 9,000",남향,2224768204,신축 강변뷰,22.07.21.,울산광역시,중구,학성동,2022-07-29
플로랜스쉐르빌(주상복합),1동,3/15,77,매매,29500,0,"2억 9,500",남향,2223345185,신축 즉시입주 양창으로 햇살좋음초등학교 도보 5분거리,22.07.11.,울산광역시,중구,학성동,2022-07-29
남운학성타운,101동,6/12,133,매매,33500,0,"3억 3,500",남향,2221705354,"남향, 올수리된집, 전세세입자 안고 매매가능, 재래식시장 대형마트도보.",22.06.29.,울산광역시,중구,학성동,2022-07-29
대진,1동,고/5,62,매매,20000,0,2억,동향,2224041267,,22.07.16.,울산광역시,중구,학성동,2022-07-29
강변경남팰리스(주상복합),1동,12/20,84,매매,32500,0,"3억 2,500",남향,2223111915,신축첫입주 넉넉한 수납공간 태화강산책로 태화강영구조망네고가능,22.07.09.,울산광역시,중구,학성동,2022-07-29
학성파크디아채,1동,고/20,84,매매,37000,0,"3억 7,000",남향,2221848024,층수좋아 조망좋고 햇살좋은 개방감좋은 포베이구조 내부깨끗 입주협의,22.06.30.,울산광역시,중구,학성동,2022-07-29
학성파크디아채,1동,9/20,84,매매,37000,0,"3억 7,000",서향,2221714361,전세만기2023.4월  막힘없는 전망 뷰 좋은 집,22.06.29.,울산광역시,중구,학성동,2022-07-29
학성파크디아채,1동,저/20,84,매매,36000,0,"3억 6,000",남서향,2222168397,"새벽시장이바로옆,",22.07.02.,울산광역시,중구,학성동,2022-07-29
남운학성타운,102동,저/12,135,매매,34000,0,"3억 4,000",남향,2221881491,동간 거리넓은 햇살 잘 드는 밝은집1층이라 아이들키우기좋음붙박이장설치,22.06.30.,울산광역시,중구,학성동,2022-07-29
태산아이빌,1동,13/16,84,전세,24000,0,"2억 4,000",남향,2225328727,"귀한 올전세. 시스템에어컨 3대, 북박이 설치 완료,
신축5년차",22.07.26.,울산광역시,중구,학성동,2022-07-29
강변경남팰리스(주상복합),1동,4/20,84,매매,31000,0,"3억 1,000",남향,2225234507,"강변조망, 남향, 옥성초등학교400M이내 거리.",22.07.25.,울산광역시,중구,학성동,2022-07-29
드림캐슬(주상복합),1동,중/14,84,매매,30000,0,3억,남향,2225221429,정남향입니다,22.07.25.,울산광역시,중구,학성동,2022-07-29
학성파크디아채,1동,고/20,84,매매,37000,0,"3억 7,000",동향,2225221133,동향이고 바다 잘보입니다,22.07.25.,울산광역시,중구,학성동,2022-07-29
삼화,1동,중/4,47,매매,12000,0,"1억 2,000",남향,2225220133,내부 수리되어 있음/ 즉시입주가능,22.07.25.,울산광역시,중구,학성동,2022-07-29
영우트리지움(주상복합),1동,9/19,84,매매,50000,0,5억,남향,2224144878,학성동 태화강 확트인 뷰 시원한 거실 잘빠진 집,22.07.17.,울산광역시,중구,학성동,2022-07-29
영우트리지움(주상복합),1동,9/19,84,전세,36000,0,"3억 6,000",남향,2224145136,남향 태화강 뷰 구조 잘빠진 살아보고 싶은 집,22.07.17.,울산광역시,중구,학성동,2022-07-29
창우크리스탈(주상복합),1동,고/13,83,매매,25000,0,"2억 5,000",남동향,2224145132,교통편리한 역전시장 앞 아파트,22.07.17.,울산광역시,중구,학성동,2022-07-29
영우트리지움(주상복합),1동,18/19,84,매매,50000,0,5억,남향,2224148180,태화강 뷰 살고 싶은 아파트 구조 좋음 ,22.07.17.,울산광역시,중구,학성동,2022-07-29
신화,1동,고/5,55,전세,9000,0,"9,000",서향,2223884846,"올수리됨, 옥성초앞임",22.07.15.,울산광역시,중구,학성동,2022-07-29
강변경남팰리스(주상복합),1동,17/20,84,매매,32500,0,"3억 2,500",남향,2223854339,태화강조망과 일조권이 정말 좋은 아파트.,22.07.14.,울산광역시,중구,학성동,2022-07-29
학성파크디아채,1동,저/20,84,매매,35000,0,"3억 5,000",동향,2223407693,,22.07.12.,울산광역시,중구,학성동,2022-07-29
드림캐슬(주상복합),1동,중/14,84,매매,30000,0,3억,남향,2222454449,"남향, 붙박이장설치, 태화강변주변, 초등학교주변",22.07.04.,울산광역시,중구,학성동,2022-07-29
강변경남팰리스(주상복합),1동,14/20,84,매매,32500,0,"3억 2,500",남향,2221757648,"신축 첫입주, 태화강 영구조망",22.06.29.,울산광역시,중구,학성동,2022-07-29
번영로서한이다음1단지,103동,7/11,84,매매,75000,0,"7억 5,000",남서향,2225727989,빠른입주가능 전망좋은 조용한동 집상태최고우수 복산동부동산서한이다음부동산,22.07.29.,울산광역시,중구,복산동,2022-07-29
복산아이파크,101동,9/15,84,전세,43000,0,"4억 3,000",남향,2225660580,로얄동.로얄층.막힘없는 뷰.햇살가득 남향.추천,22.07.28.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스1차,103동,14/14,71,매매,58000,0,"5억 8,000",남동향,2225751934,탑층 즉시입주,22.07.29.,울산광역시,중구,복산동,2022-07-29
복산아이파크,101동,2/15,84,전세,45000,0,"4억 5,000",남향,2225304828,즉시입주 입주청소 밝고 환한 필로티 입구동 동물안됨,22.07.26.,울산광역시,중구,복산동,2022-07-29
번영로센트리지,201동,11/20,84,매매,74700,0,"7억 4,700",남동향,2225422445,,22.07.27.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,204동,10/14,84,전세,42000,0,"4억 2,000",남동향,2225260435,기본에서올리모델링한세상이쁜 효성상가부동산정효은부동산,22.07.25.,울산광역시,중구,복산동,2022-07-29
복산아이파크,106동,12/13,59,매매,45000,0,"4억 5,000",남서향,2225161638,가격BEST 에누리가능 잘관리된집 강추매물,22.07.25.,울산광역시,중구,복산동,2022-07-29
복산아이파크,103동,9/14,59,매매,46500,0,"4억 6,500",남동향,2225161362,BEST 추천 선호타입 가격조절가능 남동향 깨끗하게 잘관리,22.07.25.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,201동,4/14,59,매매,48000,0,"4억 8,000",남동향,2225025788,계속고고행진효성해링턴 테라스효성상가부동산정효은부동산,22.07.23.,울산광역시,중구,복산동,2022-07-29
복산아이파크,101동,저/15,84,매매,50500,0,5억 500,남향,2225776068,,22.07.29.,울산광역시,중구,복산동,2022-07-29
성지,101동,14/15,84,매매,24000,0,"2억 4,000",남동향,2224436875,앞동 조망.일조권최상 수리되어 있습니다,22.07.20.,울산광역시,중구,복산동,2022-07-29
번영로드림파크(도시형),1동,9/14,44,매매,17000,0,"1억 7,000",남서향,2225022531,"추천,투룸형,남서향,입주가능,이사협의,주거편리,교통편리,복산동",22.07.23.,울산광역시,중구,복산동,2022-07-29
복산아이파크,106동,6/13,84,전세,45000,0,"4억 5,000",남동향,2225053796,강추.시스템에어컨5대 팬트리 안방붙박이 중문 청소까지완료.막힘없고아주깨끗,22.07.23.,울산광역시,중구,복산동,2022-07-29
복산아이파크,103동,고/14,84,전세,44000,0,"4억 4,000",남향,2225661875,정남향 일조권최고 로얄층 빠른입주가능,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,105동,저/13,59,전세,31000,0,"3억 1,000",남서향,2225660067,단지조망권 아이키우기좋은저층 빠른입주 집상태양호 도배해드림,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,102동,중/14,59,매매,46000,0,"4억 6,000",남서향,2225661074,일조권좋음 전면트임 조용한단지 집상태양호 입주협의 가격협의,22.07.28.,울산광역시,중구,복산동,2022-07-29
번영로서한이다음1단지,103동,중/11,84,전세,40000,0,4억,남동향,2225832747,"8월초입주,홈플러스옆,관리상태최상,약사초,무룡중,학성여고.",22.07.29.,울산광역시,중구,복산동,2022-07-29
번영로드림파크(도시형),1동,고/14,29,매매,10200,0,1억 200,남서향,2225773511,"남서향,입주협의가능,장농12자,시스템에어컨1대,전망좋아요",22.07.29.,울산광역시,중구,복산동,2022-07-29
번영로드림파크(도시형),1동,고/14,28,매매,8900,0,"8,900",북서향,2225773236,"급매,입주협의,장농12자,상태양호,MBC방송국앞,전세안고입주협의.",22.07.29.,울산광역시,중구,복산동,2022-07-29
복산아이파크,104동,고/13,84,매매,55000,0,"5억 5,000",남서향,2225662805,"구조좋은C타입 4bay 통풍최고 전세44,000안고매매",22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,106동,중/13,84,월세,33000,33,"3억 3,000",남동향,2225658411,시스템에어컨전체.중문설치.팬트리설치.앞동.로얄층.판상형4BAY구조.빠른입,22.07.28.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,201동,저/14,71,전세,36000,0,"3억 6,000",남향,2225658931,앞동 통풍잘되는 구조 내부올리모델링 입주협의,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,103동,중/14,59,매매,45000,0,"4억 5,000",남동향,2225658761,전면트인로얄층 판상형 앞뒤통풍최고 시스템에어컨설치 집상태최상,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,103동,고/14,84,매매,55000,0,"5억 5,000",남향,2225655373,A타입 남향 고층 앞조망트임,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,104동,중/13,84,전세,43000,0,"4억 3,000",남동향,2225646252,판상형의 c타입구조.시스템에어컨3대설치 전망잘나오는집 빠른입주가능,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,101동,중/15,84,매매,59000,0,"5억 9,000",남동향,2225655624,조망권 일조권 최고인 앞동 로얄층 B타입 판상형,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,104동,고/13,84,매매,55000,0,"5억 5,000",남향,2225655952,남향 층수좋음 빠른입주가능.금액조절 잘해드립니다.,22.07.28.,울산광역시,중구,복산동,2022-07-29
새운파래스타운,4동,중/13,115,전세,28000,0,"2억 8,000",남동향,2225645896,내부수리해드립니다.도배.장판.씽크대.페인트.해가종일들어옴.앞뒤뷰트임,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,101동,저/15,59,매매,44500,0,"4억 4,500",남서향,2225655785,앞동 남서향 햇살따스한 집이예요. 금액조절 최대한 해드립니다.,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,106동,고/13,84,월세,5000,150,"5,000",남동향,2225655224,앞동 전면에 막힘없는 고층 구조좋은B타입 4BAY 입주협의.가격협의,22.07.28.,울산광역시,중구,복산동,2022-07-29
신한그린맨션,1동,중/15,70,매매,15000,0,"1억 5,000",남동향,2225585832,전망좋음올수리됨샷시교체,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,104동,저/13,84,매매,49500,0,"4억 9,500",남향,2225582801,빠른입주좋은가격저층이지만 남향이라 햇살좋음아담한 정원감상,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,102동,고/14,84,매매,68000,0,"6억 8,000",남향,2225584226,전망이 넘 좋은집. 남향집. 방마다 붙박이장 설치됨.,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,104동,고/13,84,전세,40000,0,4억,남향,2225658259,남향 로얄층 채광 일조권최고 중문설치 단지조망이 예쁘게보이고 막힘없는집,22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,103동,2/14,59,매매,45000,0,"4억 5,000",남동향,2224962832,"즉시입주,동간거리넓고입구동,단지조망이쁜동,햇살잘들고 따뜻한집",22.07.22.,울산광역시,중구,복산동,2022-07-29
복산아이파크,106동,고/13,84,매매,60000,0,6억,남동향,2225457829,구조좋은 c타입 4BAY구조 앞동 전면막힘없고 집상태최상 언제든볼수있어요,22.07.27.,울산광역시,중구,복산동,2022-07-29
성지,102동,중/15,59,매매,16300,0,"1억 6,300",남동향,2225697454,"급매 공실이라 수리하기 좋은 기본집, 학군좋고 생활권 편리한집",22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,103동,저/14,84,매매,60000,0,6억,남향,2225612185,"남향. 초중고, 대형마트근접",22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,104동,고/13,84,매매,55000,0,"5억 5,000",남서향,2225662727,"급매,선호하는 판상형,강력추천,입주청소 완료",22.07.28.,울산광역시,중구,복산동,2022-07-29
복산아이파크,103동,7/14,84,전세,44000,0,"4억 4,000",남향,2224763923,최고추천 남향 시스템에어컨3대 층간소음매트시공 붙박이장 도배새로했어요,22.07.21.,울산광역시,중구,복산동,2022-07-29
번영로서한이다음2단지,107동,3/9,84,전세,40000,0,4억,남서향,2224726623,초등학교 중학교 인근 편의시설 굿 교통편리 신축아파트 ,22.07.21.,울산광역시,중구,복산동,2022-07-29
동덕현대,비동,고/6,77,매매,20000,0,2억,남서향,2225301869,샤시제외 올 리모델링 주인 매도후 점유개정가능,22.07.26.,울산광역시,중구,복산동,2022-07-29
복산아이파크,106동,저/13,84,매매,60000,0,6억,남향,2225386790,로얄동로얄층 멋찐집 복산동아파트전문복산동정효은부동산,22.07.26.,울산광역시,중구,복산동,2022-07-29
동덕현대,에이동,중/6,84,매매,21000,0,"2억 1,000",남서향,2225301386,샤시 및 올 리모델링 주인거주 주변 재개발호재,22.07.26.,울산광역시,중구,복산동,2022-07-29
번영로서한이다음1단지,101동,고/11,72,매매,65000,0,"6억 5,000",남동향,2225388289,위치최고서한 앞동 세안고 복산동서한복산동정효은부동산,22.07.26.,울산광역시,중구,복산동,2022-07-29
복산아이파크,103동,중/14,84,전세,41000,0,"4억 1,000",남향,2225300772,즉시입주  막힘없는 정남향 학군 및 교통등 생활환경 최상,22.07.26.,울산광역시,중구,복산동,2022-07-29
남운럭키맨션,4동,7/15,66,전세,15000,0,"1억 5,000",남동향,2224560544,"추천,전세,남향,즉시입주가능,샷시제외인테리어,깨끗함,로얄층,주거,교통편리",22.07.20.,울산광역시,중구,복산동,2022-07-29
복산아이파크,102동,고/14,84,매매,55000,0,"5억 5,000",남향,2225120059,햇살좋은정남향 신축급 상태좋은로얄층 빠른입주가능,22.07.25.,울산광역시,중구,복산동,2022-07-29
복산아이파크,101동,중/15,84,매매,65000,0,"6억 5,000",남향,2225114630,앞동남향타워형구조중문줄눈이사협의,22.07.25.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,204동,고/14,59,매매,52000,0,"5억 2,000",남동향,2225178855,최고추천 입주맞춤 효성해링턴상가부동산정효은부동산,22.07.25.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스1차,101동,중/16,84,매매,70000,0,7억,남동향,2225178626,학군과인프라최상위치보고오는효성 효성상가부동산정효은부동산,22.07.25.,울산광역시,중구,복산동,2022-07-29
복산아이파크,107동,저/12,84,매매,60000,0,6억,남향,2225176200,한샘인테리어 집내무넘무이뻐요 복산동전문 복산동정효은부동산,22.07.25.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,202동,저/12,71,매매,58000,0,"5억 8,000",남동향,2225178384,입주프리약사초배정트램2호선예정 효성상가부동산정효은부동산,22.07.25.,울산광역시,중구,복산동,2022-07-29
송림,1동,고/6,53,전세,10000,0,1억,남향,2225154922,위치좋고 깨끗해요 즉시입주가능,22.07.25.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,203동,중/14,71,매매,65000,0,"6억 5,000",남동향,2225175767,학교학원병원대형마트5분내인프라최고 효성상가부동산정효은부동산,22.07.25.,울산광역시,중구,복산동,2022-07-29
복산아이파크,107동,저/12,84,매매,55500,0,"5억 5,500",남서향,2225136519,귀한 4Bay 알파룸햇살좋은 남서조용하고 아늑한 느낌입주시기조정가능,22.07.25.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스1차,104동,고/15,84,매매,69000,0,"6억 9,000",남동향,2225175076,최고타입 최다수매물보유 효성상가부동산정효은부동산,22.07.25.,울산광역시,중구,복산동,2022-07-29
남운럭키맨션,1동,4/15,84,매매,25000,0,"2억 5,000",남동향,2223928939,"추천.인기동인 탁트인 1동.샷시까지 올수리.성지,남운럭키 전문",22.07.15.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,203동,중/14,71,매매,62000,0,"6억 2,000",남동향,2225039621,약사초우수한인프라를자랑번영로효성효성상가부동산정효은 ,22.07.23.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,201동,중/14,84,매매,62000,0,"6억 2,000",남서향,2225039142,초급매34 로얄동로얄라인 위치인프라최상 효성상가부동산정효은부동산,22.07.23.,울산광역시,중구,복산동,2022-07-29
복산아이파크,107동,중/12,59,매매,47000,0,"4억 7,000",남동향,2225025953,입주프리안내프리 추천 복산동전문 복산동정효은부동산,22.07.23.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스1차,101동,중/16,84,매매,70000,0,7억,남서향,2225026319,야간전망최고구조최고판상형 효성상가부동산 정효은부동산,22.07.23.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스1차,101동,저/16,84,매매,59000,0,"5억 9,000",남동향,2225029428,입주언제든지시스템4방범창옵션많이 효성상가부동산정효은부동산,22.07.23.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,204동,고/14,59,매매,50000,0,5억,남동향,2225030446,입주프리 안내프리 약사초평지도보5분 효성상가부동산 정효은부동산,22.07.23.,울산광역시,중구,복산동,2022-07-29
복산아이파크,103동,중/14,84,매매,61000,0,"6억 1,000",남향,2224962126,입주맞춰드려요 로얄층 정남향 복산동전문복산동정효은부동산,22.07.22.,울산광역시,중구,복산동,2022-07-29
번영로서한이다음1단지,101동,저/11,72,매매,62000,0,"6억 2,000",남동향,2224961940,입주 투자 다됨 로얄라인 복산동서한이다음 복산동정효은부동산,22.07.22.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스1차,102동,고/13,84,매매,70000,0,7억,남동향,2224961754,최다수매물보유 복산대표엄청끝내주는스벅뷰 효성상가정효은부동산,22.07.22.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,202동,저/12,71,매매,64000,0,"6억 4,000",남동향,2224961514,약사초도보거리학원밀집앞동인테리어효성해링턴상가부동산정효은부동산,22.07.22.,울산광역시,중구,복산동,2022-07-29
번영로드림파크(도시형),1동,중/14,29,매매,10000,0,1억,남서향,2224686004,MBC방송국 인접입지우수생활편리교통편리상태최고,22.07.21.,울산광역시,중구,복산동,2022-07-29
복산아이파크,104동,중/13,84,월세,30000,50,3억,남향,2224688126,남향안정감 있는 아담한 정원이 보이는 집 교통 생활편리함,22.07.21.,울산광역시,중구,복산동,2022-07-29
번영로서한이다음2단지,107동,저/9,84,매매,60000,0,6억,남서향,2224786381,입주 전세 다됨 복산동서한이다음 복산동정효은부동산,22.07.21.,울산광역시,중구,복산동,2022-07-29
복산아이파크,103동,저/14,84,매매,63000,0,"6억 3,000",남향,2224695673,정남향 깔끔하게 관리가 잘 된 집,22.07.21.,울산광역시,중구,복산동,2022-07-29
번영로센트리지,401동,1/23,84,매매,69020,0,"6억 9,020",남서향,2225389436,일조 좋은 1층 초초급매물건입니다. 초등 공원 인접.조정가능,22.07.26.,울산광역시,중구,복산동,2022-07-29
복산아이파크,104동,중/13,84,전세,43000,0,"4억 3,000",남향,2224688771,아파트 정원과 단지내 어린이집이보이는 남향집교통 생활편리해요,22.07.21.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,202동,저/12,59,매매,49000,0,"4억 9,000",남동향,2224784582,서비스특화세대 위치보고오는효성 효성상가부동산정효은부동산,22.07.21.,울산광역시,중구,복산동,2022-07-29
남운럭키맨션,3동,고/15,83,매매,24000,0,"2억 4,000",남동향,2224683991,멋진 탑층학교가 인접 등하교 편리대형마트 병원 걸어서 5분거리올수리,22.07.21.,울산광역시,중구,복산동,2022-07-29
번영로드림파크(도시형),1동,중/14,29,매매,9000,0,"9,000",북동향,2224926586,"시스템에어컨1대,12자한샘장농,풀옵션,MBC입구,실입주,전월세가능.",22.07.22.,울산광역시,중구,복산동,2022-07-29
신한그린맨션,1동,9/15,57,전세,14000,0,"1억 4,000",남향,2225318289,"즉시입주, 보증보험 가능, 깨끗한집",22.07.26.,울산광역시,중구,복산동,2022-07-29
번영로서한이다음1단지,105동,중/11,84,매매,63000,0,"6억 3,000",남동향,2224711421,가장 착한 가격으로 강추.12월이후입주가능.홈플 학교 교통 최강입지조건,22.07.21.,울산광역시,중구,복산동,2022-07-29
평창,101동,9/25,84,매매,41000,0,"4억 1,000",동향,2224027956,"내부 올 인테리어 깨끗, 전세 세입자 거주중, 23년10월 임차종료",22.07.15.,울산광역시,중구,복산동,2022-07-29
동덕현대,비동,3/6,77,매매,21000,0,"2억 1,000",남서향,2224017974,샷시포함 올리모델링된집,22.07.15.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스1차,103동,고/14,71,매매,60500,0,6억 500,남동향,2224586422,입주여유 잔금여유 위치평평 확장형 앞발코니 복산부동산서한이다음,22.07.20.,울산광역시,중구,복산동,2022-07-29
번영로센트리지,102동,8/10,84,매매,73150,0,"7억 3,150",남동향,2225177624,"분양권,손피1억 거실에 공원조망,필요금액2억6130만원,중도금무이자",22.07.25.,울산광역시,중구,복산동,2022-07-29
번영로센트리지,401동,1/23,59,매매,50420,0,5억 420,남향,2225173513,"남향,59A,단지앞 어린이놀이터,생활권 아주편리동.가장저렴피6천",22.07.25.,울산광역시,중구,복산동,2022-07-29
번영로센트리지,401동,2/23,75,매매,70780,0,7억 780,남서향,2225174543,피로티층.생활권 아주편리한 동.필요금액2억7천5백,22.07.25.,울산광역시,중구,복산동,2022-07-29
번영로서한이다음1단지,102동,중/11,84,매매,73000,0,"7억 3,000",남향,2224584828,홈플러스도보5분 실거주 투자최고햇살가득남향포베이 복산부동산서한이다음,22.07.20.,울산광역시,중구,복산동,2022-07-29
번영로서한이다음1단지,106동,중/10,72,매매,63000,0,"6억 3,000",남동향,2224589280,최고입지최고학군 화끈한금액조정함 내부상태최상복산동부동산서한이다음,22.07.20.,울산광역시,중구,복산동,2022-07-29
번영로센트리지,207동,3/20,75,매매,69680,0,"6억 9,680",남서향,2225174943,분양권.막힘 전혀 없는서덕출공원뷰.,22.07.25.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스1차,103동,고/14,84,매매,70000,0,7억,남동향,2224539013,"구조좋은 로얄층, 편리한 도보생활권",22.07.20.,울산광역시,중구,복산동,2022-07-29
아느칸빌4차(주상복합),1동,중/13,83,매매,31000,0,"3억 1,000",남동향,2224537929,"중구 홈플러스 건너 5분,채광좋아요",22.07.20.,울산광역시,중구,복산동,2022-07-29
번영로센트리지,303동,6/21,59,매매,48400,0,"4억 8,400",남향,2225183593,"입주권,남향,단지조망굿벗꽃길,복산초 바로옆",22.07.25.,울산광역시,중구,복산동,2022-07-29
새운파래스타운,2동,11/13,126,전세,29000,0,"2억 9,000",남동향,2225019537,,22.07.23.,울산광역시,중구,복산동,2022-07-29
복산아이파크,105동,13/13,84,매매,60000,0,6억,남향,2225044701,막힘없는 정남향 즉시입주 가격 조절가 타워형 기본집,22.07.23.,울산광역시,중구,복산동,2022-07-29
복산아이파크,106동,중/13,84,전세,41000,0,"4억 1,000",남동향,2224405009,울고방향귀한 C타입 알파룸판상형조용하고 통풍이 잘됨 입주협의,22.07.19.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스1차,102동,4/13,71,매매,65000,0,"6억 5,000",남동향,2223459369,최고급인테리어파라솔테라스누려보세요효성상가부동산정효은,22.07.12.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,203동,10/14,71,매매,65000,0,"6억 5,000",남동향,2223487505,입주됨갭됨조절됨호재많은효성놀이터이쁜효성효성상가부동산정효은부동산,22.07.12.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스1차,102동,중/13,84,매매,70000,0,7억,남동향,2224329711,울산중구최고의인프라와 다양한옵션 편리함을누리보세요 정효은부동산,22.07.18.,울산광역시,중구,복산동,2022-07-29
번영로효성해링턴플레이스2차,202동,중/12,59,매매,51000,0,"5억 1,000",남동향,2224330650,위치최고우수한인프라 효성상가부동산 정효은부동산,22.07.18.,울산광역시,중구,복산동,2022-07-29
복산아이파크,101동,저/15,84,매매,65000,0,"6억 5,000",남향,2224330199,시스템에어컨냉장고풀옵션 전망은최고로얄동 복산동정효은부동산,22.07.18.,울산광역시,중구,복산동,2022-07-29
번영로센트리지,301동,21/22,75,매매,67650,0,"6억 7,650",남서향,2225059528,"신축매입가 약 6.7억 가격조절 가능, 각종옵션포함가",22.07.23.,울산광역시,중구,복산동,2022-07-29
복산아이파크,102동,중/14,84,매매,57000,0,"5억 7,000",남동향,2224327823,A급 집구경하면반해버림 조정가능 복산동아파트전문 복산동정효은부동산,22.07.18.,울산광역시,중구,복산동,2022-07-29
성지,103동,저/15,84,매매,23500,0,"2억 3,500",남동향,2224213015,샷시교체강화마루집상태좋음막힘없는 남동향이사협의주변학군우수,22.07.18.,울산광역시,중구,복산동,2022-07-29
