법정동코드	법정동명	폐지여부
4713033033	경주시 내남면 비지리	존재
4713034000	경주시 산내면	존재
4713034021	경주시 산내면 감산리	존재
4713034022	경주시 산내면 내칠리	존재
4713034023	경주시 산내면 외칠리	존재
4713034024	경주시 산내면 일부리	존재
4713034025	경주시 산내면 신원리	존재
4713034026	경주시 산내면 의곡리	존재
4713034027	경주시 산내면 내일리	존재
4713034028	경주시 산내면 우라리	존재
4713034029	경주시 산내면 대현리	존재
4713035000	경주시 서면	존재
4713035021	경주시 서면 천촌리	존재
4713035022	경주시 서면 아화리	존재
4713035023	경주시 서면 도계리	존재
4713035024	경주시 서면 도리	존재
4713035025	경주시 서면 서오리	존재
4713035026	경주시 서면 심곡리	존재
4713035027	경주시 서면 사라리	존재
4713035028	경주시 서면 운대리	존재
4713036000	경주시 현곡면	존재
4713036021	경주시 현곡면 라원리	존재
4713036022	경주시 현곡면 소현리	존재
4713036023	경주시 현곡면 하구리	존재
4713036024	경주시 현곡면 상구리	존재
4713036025	경주시 현곡면 무과리	존재
4713036026	경주시 현곡면 남사리	존재
4713036027	경주시 현곡면 금장리	존재
4713036028	경주시 현곡면 래태리	존재
4713036029	경주시 현곡면 가정리	존재
4713036030	경주시 현곡면 오류리	존재
4713037000	경주시 강동면	존재
4713037021	경주시 강동면 모서리	존재
4713037022	경주시 강동면 호명리	존재
4713037023	경주시 강동면 안계리	존재
4713037024	경주시 강동면 다산리	존재
4713037025	경주시 강동면 단구리	존재
4713037026	경주시 강동면 유금리	존재
4713037027	경주시 강동면 오금리	존재
4713037028	경주시 강동면 왕신리	존재
4713037029	경주시 강동면 국당리	존재
4713037030	경주시 강동면 인동리	존재
4713037031	경주시 강동면 양동리	존재
4713038000	경주시 천북면	존재
4713038021	경주시 천북면 물천리	존재
4713038022	경주시 천북면 덕산리	존재
4713038023	경주시 천북면 갈곡리	존재
4713038024	경주시 천북면 성지리	존재
4713038025	경주시 천북면 동산리	존재
4713038026	경주시 천북면 화산리	존재
4713038027	경주시 천북면 오야리	존재
4713038028	경주시 천북면 모아리	존재
4713038029	경주시 천북면 신당리	존재
4713090100	경주시 성내동	폐지
4713090200	경주시 중앙동	폐지
4713090300	경주시 탑정동	폐지
4713090400	경주시 인교동	폐지
4713090500	경주시 선도동	폐지
4713090600	경주시 도동동	폐지
4713090700	경주시 보황동	폐지
4713090800	경주시 용황동	폐지
4713090900	경주시 정래동	폐지
4713091000	경주시 불국동	폐지
4713091100	경주시 보덕동	폐지
4715000000	김천시	존재
4715010100	김천시 감호동	존재
4715010200	김천시 용두동	존재
4715010300	김천시 모암동	존재
4715010400	김천시 성내동	존재
4715010500	김천시 평화동	존재
4715010600	김천시 남산동	존재
4715010700	김천시 황금동	존재
4715010800	김천시 신음동	존재
4715010900	김천시 교동	존재
4715011000	김천시 삼락동	존재
4715011100	김천시 문당동	존재
4715011200	김천시 다수동	존재
4715011300	김천시 백옥동	존재
