name,구,동,리,,z,lat,lon,cortarNo,,z,lat,lon,cortarNo
서울특별시,,,,,,,,,,,,,
서울특별시,종로구,,,,,,,,,,,,
서울특별시,종로구,청운동,,,14,37.589008,126.968465,1111010100,,,,,
서울특별시,종로구,신교동,,,14,37.5845,126.9678,1111010200,,,,,
서울특별시,종로구,궁정동,,,14,37.584886,126.972359,1111010300,,,,,
서울특별시,종로구,효자동,,,14,37.582683,126.971848,1111010400,,,,,
서울특별시,종로구,창성동,,,14,37.5806,126.9721,1111010500,,,,,
서울특별시,종로구,통의동,,,14,37.5784,126.972638,1111010600,,,,,
서울특별시,종로구,적선동,,,14,37.575264,126.973889,1111010700,,,,,
서울특별시,종로구,통인동,,,14,37.579797,126.970016,1111010800,,,,,
서울특별시,종로구,누상동,,,14,37.5804,126.9623,1111010900,,,,,
서울특별시,종로구,누하동,,,14,37.579183,126.968175,1111011000,,,,,
서울특별시,종로구,옥인동,,,14,37.5836,126.9625,1111011100,,,,,
서울특별시,종로구,체부동,,,14,37.578,126.9707,1111011200,,,,,
서울특별시,종로구,필운동,,,14,37.576859,126.967655,1111011300,,,,,
서울특별시,종로구,내자동,,,14,37.5754,126.9716,1111011400,,,,,
서울특별시,종로구,사직동,,,14,37.575363,126.965777,1111011500,,,,,
서울특별시,종로구,도렴동,,,14,37.572704,126.97463,1111011600,,,,,
서울특별시,종로구,당주동,,,14,37.571558,126.973778,1111011700,,,,,
서울특별시,종로구,내수동,,,14,37.5733,126.972,1111011800,,,,,
서울특별시,종로구,세종로,,,14,37.5795,126.9768,1111011900,,,,,
서울특별시,종로구,신문로1가,,,14,37.570353,126.974025,1111012000,,,,,
서울특별시,종로구,신문로2가,,,14,37.570792,126.968813,1111012100,,,,,
서울특별시,종로구,청진동,,,14,37.571515,126.980246,1111012200,,,,,
서울특별시,종로구,서린동,,,14,37.569482,126.98026,1111012300,,,,,
서울특별시,종로구,수송동,,,14,37.5737,126.9806,1111012400,,,,,
서울특별시,종로구,중학동,,,14,37.575174,126.979904,1111012500,,,,,
서울특별시,종로구,종로1가,,,14,37.570674,126.980286,1111012600,,,,,
서울특별시,종로구,공평동,,,14,37.5711,126.9828,1111012700,,,,,
서울특별시,종로구,관훈동,,,14,37.573917,126.98465,1111012800,,,,,
서울특별시,종로구,견지동,,,14,37.573714,126.983046,1111012900,,,,,
서울특별시,종로구,와룡동,,,14,37.582,126.993,1111013000,,,,,
