법정동코드	법정동명	폐지여부
4815113000	마산시 합포구 월남동2가	폐지
4815113100	마산시 합포구 월남동3가	폐지
4815113200	마산시 합포구 월남동4가	폐지
4815113300	마산시 합포구 월남동5가	폐지
4815113400	마산시 합포구 월영동	폐지
4815113500	마산시 합포구 월포동	폐지
4815113600	마산시 합포구 예곡동	폐지
4815113700	마산시 합포구 오동동	폐지
4815113800	마산시 합포구 우산동	폐지
4815113900	마산시 합포구 유록동	폐지
4815114000	마산시 합포구 자산동	폐지
4815114100	마산시 합포구 장군동1가	폐지
4815114200	마산시 합포구 장군동2가	폐지
4815114300	마산시 합포구 장군동3가	폐지
4815114400	마산시 합포구 장군동4가	폐지
4815114500	마산시 합포구 장군동5가	폐지
4815114600	마산시 합포구 중성동	폐지
4815114700	마산시 합포구 중앙동1가	폐지
4815114800	마산시 합포구 중앙동2가	폐지
4815114900	마산시 합포구 중앙동3가	폐지
4815115000	마산시 합포구 창동	폐지
4815115100	마산시 합포구 창포동1가	폐지
4815115200	마산시 합포구 창포동2가	폐지
4815115300	마산시 합포구 창포동3가	폐지
4815115400	마산시 합포구 청계동	폐지
4815115500	마산시 합포구 추산동	폐지
4815115600	마산시 합포구 평화동	폐지
4815115700	마산시 합포구 화영동	폐지
4815115800	마산시 합포구 해운동	폐지
4815115900	마산시 합포구 현동	폐지
4815116000	마산시 합포구 홍문동	폐지
4815135000	마산시 합포구 구산면	폐지
4815135021	마산시 합포구 구산면 유산리	폐지
4815135022	마산시 합포구 구산면 마전리	폐지
4815135023	마산시 합포구 구산면 석곡리	폐지
4815135024	마산시 합포구 구산면 수정리	폐지
4815135025	마산시 합포구 구산면 내포리	폐지
4815135026	마산시 합포구 구산면 옥계리	폐지
4815135027	마산시 합포구 구산면 반동리	폐지
4815135028	마산시 합포구 구산면 구복리	폐지
4815135029	마산시 합포구 구산면 심리	폐지
4815135030	마산시 합포구 구산면 남포리	폐지
4815135031	마산시 합포구 구산면 난포리	폐지
