name,z,lat,lon,cortarNo
진주시 수곡면,14,35.198643,127.93215,4817046000
진주시 수곡면 자매리,,,,
진주시 수곡면 사곡리,,,,
진주시 수곡면 대천리,,,,
진주시 수곡면 창촌리,,,,
진주시 수곡면 효자리,,,,
진주시 수곡면 원내리,,,,
진주시 수곡면 원외리,,,,
진주시 수곡면 원계리,,,,
통영시,,,,
통영시 도천동,14,34.837172,128.413472,4822010100
통영시 서호동,14,34.8421,128.419,4822010200
통영시 명정동,14,34.842555,128.419809,4822010300
통영시 항남동,14,34.842,128.4229,4822010400
통영시 중앙동,14,34.84658,128.426958,4822010500
통영시 문화동,14,34.848415,128.421,4822010600
통영시 태평동,14,34.8476,128.4257,4822010700
통영시 동호동,14,34.8421,128.4292,4822010800
통영시 정량동,14,34.843063,128.430245,4822010900
통영시 북신동,14,34.857037,128.42557,4822011000
통영시 무전동,14,34.857387,128.432445,4822011100
통영시 평림동,14,34.8544,128.3936,4822011200
통영시 인평동,14,34.839321,128.400711,4822011300
통영시 당동,14,34.8352,128.4066,4822011400
통영시 미수동,14,34.8255,128.404175,4822011500
통영시 봉평동,14,34.832731,128.414497,4822011600
통영시 도남동,14,34.829581,128.424309,4822011700
통영시 산양읍,14,34.803475,128.39575,4822025000
통영시 산양읍 영운리,,,,
통영시 산양읍 신전리,,,,
통영시 산양읍 미남리,,,,
통영시 산양읍 연화리,,,,
통영시 산양읍 삼덕리,,,,
통영시 산양읍 남평리,,,,
통영시 산양읍 풍화리,,,,
통영시 산양읍 곤리리,,,,
통영시 산양읍 추도리,,,,
통영시 산양읍 저림리,,,,
통영시 산양읍 연곡리,,,,
통영시 용남면,14,34.867761,128.442406,4822031000
통영시 용남면 화삼리,,,,
통영시 용남면 동달리,,,,
통영시 용남면 장문리,,,,
통영시 용남면 삼화리,,,,
통영시 용남면 원평리,,,,
통영시 용남면 장평리,,,,
통영시 용남면 지도리,,,,
통영시 용남면 어의리,,,,
통영시 도산면,14,34.903249,128.361862,4822033000
통영시 도산면 원산리,,,,
통영시 도산면 도선리,,,,
통영시 도산면 법송리,,,,
통영시 도산면 관덕리,,,,
통영시 도산면 오륜리,,,,
통영시 도산면 저산리,,,,
통영시 도산면 수월리,,,,
통영시 광도면,14,34.899816,128.406833,4822034000
통영시 광도면 덕포리,,,,
통영시 광도면 우동리,,,,
통영시 광도면 노산리,,,,
통영시 광도면 죽림리,,,,
통영시 광도면 용호리,,,,
통영시 광도면 황리,,,,
통영시 광도면 안정리,,,,
통영시 욕지면,14,34.636325,128.263378,4822035000
통영시 욕지면 동항리,,,,
통영시 욕지면 서산리,,,,
통영시 욕지면 연화리,,,,
통영시 욕지면 노대리,,,,
통영시 욕지면 두미리,,,,
통영시 한산면,14,34.767166,128.507703,4822036000
통영시 한산면 두억리,,,,
통영시 한산면 염호리,,,,
통영시 한산면 창좌리,,,,
통영시 한산면 하소리,,,,
통영시 한산면 추봉리,,,,
통영시 한산면 용호리,,,,
통영시 한산면 비진리,,,,
통영시 한산면 매죽리,,,,
통영시 사량면,14,34.845249,128.220725,4822037000
통영시 사량면 금평리,,,,
통영시 사량면 돈지리,,,,
통영시 사량면 읍덕리,,,,
통영시 사량면 양지리,,,,
사천시,,,,
사천시 동동,14,34.9369,128.0679,4824010100
사천시 서동,14,34.932968,128.065513,4824010200
사천시 선구동,14,34.929757,128.072114,4824010300
사천시 동금동,14,34.931043,128.081025,4824010400
사천시 서금동,14,34.9254,128.0746,4824010500
사천시 동림동,14,34.9468,128.0723,4824010600
사천시 좌룡동,14,34.9558,128.0809,4824010700
사천시 벌리동,14,34.939943,128.084575,4824010800
사천시 용강동,14,34.9534,128.092,4824010900
사천시 와룡동,14,34.970801,128.1079,4824011000
사천시 봉남동,14,34.9444,128.104,4824011100
사천시 이금동,14,34.9508,128.1093,4824011200
사천시 이홀동,14,34.9594,128.1226,4824011300
사천시 궁지동,14,34.940326,128.118812,4824011400
사천시 사등동,14,34.9274,128.1088,4824011500
사천시 향촌동,14,34.93386,128.093462,4824011600
사천시 대방동,14,34.9355,128.055,4824011700
사천시 실안동,14,34.9472,128.0528,4824011800
사천시 마도동,14,34.9359,128.0312,4824011900
사천시 늑도동,14,34.9231,128.0376,4824012000
사천시 신수동,14,34.8987,128.076,4824012100
사천시 백천동,14,34.9927,128.0911,4824012200
사천시 신벽동,14,34.9852,128.0748,4824012300
사천시 노룡동,14,34.9853,128.053,4824012400
사천시 대포동,14,34.988901,128.046625,4824012500
사천시 송포동,14,34.9658,128.0553,4824012600
사천시 죽림동,14,34.968,128.0787,4824012700
사천시 사천읍,14,35.082787,128.091246,4824025000
사천시 사천읍 선인리,,,,
사천시 사천읍 정의리,,,,
사천시 사천읍 평화리,,,,
사천시 사천읍 수석리,,,,
사천시 사천읍 사주리,,,,
사천시 사천읍 용당리,,,,
사천시 사천읍 중선리,,,,
사천시 사천읍 구암리,,,,
사천시 사천읍 장전리,,,,
사천시 사천읍 금곡리,,,,
사천시 사천읍 두량리,,,,
사천시 정동면,14,35.056033,128.123918,4824031000
사천시 정동면 고읍리,,,,
사천시 정동면 예수리,,,,
사천시 정동면 화암리,,,,
