거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"40,000",중개거래,2014,2022,무거동,태화강서희스타힐스,1,3,84.8257,울산 남구,1593,31140,20,,
"16,200",중개거래,1990,2022,무거동,영남파크,1,5,78.375,울산 남구,831-1,31140,6,22.02.24,O
"16,200",중개거래,1990,2022,무거동,영남파크,1,5,78.375,울산 남구,831-1,31140,6,,
"27,500",중개거래,1996,2022,무거동,삼익,1,6,84.72,울산 남구,1537,31140,9,22.01.06,O
"27,500",중개거래,1996,2022,무거동,삼익,1,6,84.72,울산 남구,1537,31140,9,,
"26,500",중개거래,2000,2022,무거동,울산옥현1주공,1,7,59.89,울산 남구,477-1,31140,5,,
"28,400",중개거래,2000,2022,무거동,울산옥현1주공,1,7,59.89,울산 남구,477-1,31140,10,,
"33,500",중개거래,2001,2022,무거동,옥현으뜸마을주공3,1,7,59.78,울산 남구,488-13,31140,7,,
"14,000",중개거래,1997,2022,무거동,아성홈토피아,1,9,68.04,울산 남구,815-1,31140,8,,
"15,000",중개거래,1996,2022,무거동,신세대2,1,11,59.67,울산 남구,1520-13,31140,3,,
"14,000",직거래,1989,2022,무거동,삼성석유화학(주)사택,1,11,48.24,,839-1,31140,5,,
"37,000",중개거래,2001,2022,무거동,옥현으뜸마을주공3,1,12,84.66,울산 남구,488-13,31140,14,,
"10,600",중개거래,1988,2022,무거동,남운그린힐,1,13,59.4,울산 남구,927-6,31140,6,,
"13,500",중개거래,1991,2022,무거동,선경,1,13,71.985,울산 남구,833-1,31140,1,,
"10,600",중개거래,1988,2022,무거동,남운그린힐,1,13,59.4,울산 남구,927-6,31140,6,22.02.07,O
"17,500",직거래,1996,2022,무거동,굴화주공2,1,14,49.65,,276-1,31140,8,,
"33,000",중개거래,2001,2022,무거동,옥현으뜸마을주공3,1,14,59.84,울산 남구,488-13,31140,16,,
"16,500",중개거래,1989,2022,무거동,협성현대,1,15,84.95,울산 남구,931-1,31140,5,,
"22,000",중개거래,1997,2022,무거동,무거한라4차,1,16,59.95,울산 북구,1539,31140,12,,
"21,000",중개거래,1997,2022,무거동,굴화주공1,1,16,59.99,"울산 남구, 울산 울주군",275-1,31140,1,,
"24,500",중개거래,1996,2022,무거동,굴화주공2,1,18,59.99,울산 남구,276-1,31140,16,,
"20,200",중개거래,1996,2022,무거동,신세대2,1,19,84.5,울산 남구,1520-13,31140,11,,
"15,000",중개거래,1996,2022,무거동,신세대2,1,19,59.67,울산 남구,1520-13,31140,6,,
"17,500",중개거래,1997,2022,무거동,무거청구맨션,1,19,59.895,울산 남구,1551,31140,10,,
"34,700",중개거래,2001,2022,무거동,옥현으뜸마을주공3,1,19,59.78,울산 남구,488-13,31140,16,,
"18,000",중개거래,1996,2022,무거동,동서그린맨션5,1,20,59.77,울산 남구,1549-2,31140,6,,
"6,900",중개거래,1996,2022,무거동,신세대3차,1,20,31.294,울산 남구,1520-8,31140,6,,
"29,200",중개거래,2000,2022,무거동,울산옥현1주공,1,22,59.89,울산 남구,477-1,31140,11,,
"24,750",중개거래,2000,2022,무거동,울산옥현1주공,1,22,59.89,울산 남구,477-1,31140,2,,
"15,000",중개거래,1992,2022,무거동,삼호,1,22,59.65,"울산 남구, 울산 울주군",1183-1,31140,5,,
"25,800",중개거래,1997,2022,무거동,굴화주공1,1,22,59.99,울산 남구,275-1,31140,9,,
"45,300",중개거래,2001,2022,무거동,옥현으뜸마을주공3,1,23,75.5,울산 남구,488-13,31140,6,,
"16,800",중개거래,1995,2022,무거동,무거현대,1,24,62.88,울산 남구,832-2,31140,9,,
"21,700",중개거래,1996,2022,무거동,굴화주공2,1,24,59.99,울산 남구,276-1,31140,15,,
"23,800",중개거래,1997,2022,무거동,굴화주공1,1,25,59.99,울산 남구,275-1,31140,15,,
"16,300",중개거래,1995,2022,무거동,무거현대,1,26,58.05,울산 남구,832-2,31140,13,,
"14,000",중개거래,1996,2022,무거동,신복현대,1,27,59.76,울산 남구,1553,31140,9,,
"27,570",중개거래,2000,2022,무거동,울산옥현1주공,1,28,59.89,울산 남구,477-1,31140,14,,
"33,700",중개거래,2001,2022,무거동,옥현으뜸마을주공3,1,28,59.84,울산 남구,488-13,31140,10,,
"22,450",중개거래,1997,2022,무거동,굴화주공1,1,28,59.99,울산 남구,275-1,31140,5,,
"84,200",중개거래,2013,2022,무거동,무거위브자이,1,29,120.005,울산 남구,1594,31140,21,,
"16,300",중개거래,1995,2022,무거동,무거현대,1,29,58.05,울산 남구,832-2,31140,9,,
"32,300",중개거래,2002,2022,무거동,쌍용스윗닷홈2,1,31,84.9348,울산 남구,840,31140,2,,
"15,500",직거래,1989,2022,무거동,부성타워맨션,1,31,84.85,,220-1,31140,3,,
"36,000",중개거래,1989,2022,옥동,서강파크(A~C동),1,4,84.24,울산 남구,185,31140,12,,
"34,700",중개거래,1991,2022,옥동,대륙현대2차,1,12,84.92,"울산 남구, 울산 울주군",162,31140,12,,
"16,000",중개거래,1998,2022,옥동,금오그린,1,27,59.75,울산 남구,281-1,31140,1,,
"33,000",직거래,1987,2022,옥동,도성,1,28,50.25,,1386,31140,2,,
"55,900",중개거래,2019,2022,두왕동,대공원호반베르디움,1,10,84.9801,울산 남구,748,31140,5,,
"58,200",중개거래,2020,2022,두왕동,대공원호반베르디움2차,1,15,84.9801,울산 남구,747-2,31140,14,,
"21,000",중개거래,2001,2022,신정동,수암타워,1,1,76.57,울산 남구,858-1,31140,2,,
"39,500",중개거래,2001,2022,신정동,신정현대홈타운3,1,1,81.87,울산 남구,851-21,31140,23,,
"18,000",중개거래,1993,2022,신정동,한라무지개,1,4,84.699,울산 남구,899-1,31140,3,,
"60,700",중개거래,2011,2022,신정동,태화강풍림엑슬루타워,1,6,129.28,울산 남구,1880,31140,15,,
"50,000",중개거래,1985,2022,신정동,한일,1,6,56.54,울산 남구,1611-1,31140,2,,
"34,500",중개거래,1981,2022,신정동,은월,1,7,69.22,울산 남구,1563-39,31140,4,,
"55,000",중개거래,2007,2022,신정동,신성미소지움1단지,1,8,84.95,울산 남구,1852,31140,5,,
"28,700",중개거래,2018,2022,신정동,미소드리움아파트,1,8,80.183,울산 남구,526-10,31140,17,,
"22,000",중개거래,2001,2022,신정동,청림하이츠빌라,1,8,78.36,울산 남구,1132-5,31140,4,,
"106,000",중개거래,2003,2022,신정동,문수로IPARK2,1,8,101.5519,울산 남구,1639-51,31140,11,,
"28,000",중개거래,2018,2022,신정동,풍진힐그린스카이,1,9,84.9208,울산 남구,478-2,31140,4,,
"57,000",중개거래,2018,2022,신정동,대공원코아루파크베르,1,10,84.4903,울산 남구,1910,31140,7,,
"9,000",직거래,2002,2022,신정동,제니스타워,1,11,25.55,,350,31140,7,,
"53,000",중개거래,2009,2022,신정동,극동스타클래스,1,11,131.95,울산 남구,1875,31140,9,,
"50,500",중개거래,2016,2022,신정동,양우내안애팰리스,1,13,84.838,"울산 남구, 울산 북구",1903,31140,17,,
"56,000",중개거래,2007,2022,신정동,신성미소지움1단지,1,13,84.94,울산 남구,1852,31140,2,,
"35,800",중개거래,2018,2022,신정동,금광예다움,1,14,81.58,울산 남구,584-5,31140,13,,
"63,500",중개거래,2012,2022,신정동,울산신정푸르지오,1,15,84.9627,울산 남구,318,31140,32,,
"38,000",중개거래,1985,2022,신정동,우주가든,1,15,77.56,울산 남구,1843-1,31140,6,,
"29,500",중개거래,2017,2022,신정동,비발디칸,1,16,84.0044,울산 남구,651-3,31140,6,,
"73,500",중개거래,2012,2022,신정동,울산신정푸르지오,1,17,99.8574,울산 남구,318,31140,27,,
"26,000",중개거래,2006,2022,신정동,남경노블랜드,1,17,84.7864,울산 남구,58-5,31140,6,22.03.31,O
"43,000",중개거래,2001,2022,신정동,신정현대홈타운4,1,18,84.96,"울산 남구, 울산 동구",851-20,31140,9,,
"34,100",중개거래,2001,2022,신정동,신정현대홈타운4,1,19,59.97,울산 남구,851-20,31140,12,,
"27,000",중개거래,2019,2022,신정동,지움포유,1,20,68.38,울산 남구,480-1,31140,13,22.03.04,O
"31,000",중개거래,2017,2022,신정동,비발디칸,1,20,84.0044,울산 남구,651-3,31140,5,,
"29,700",중개거래,2017,2022,신정동,푸오레스위트,1,25,84.9113,울산 남구,1169-3,31140,8,,
"7,700",중개거래,2015,2022,신정동,유씨티,1,26,20.43,울산 남구,770-15,31140,10,22.02.26,O
"48,400",중개거래,2014,2022,신정동,신정동협성휴포레,1,28,84.9615,울산 남구,1902,31140,6,,
